conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,sentiment,cleaned_text
1941255362793046077,Fri Jul 04 23:33:14 +0000 2025,0,@blondrin dbd nao valorant,1941279162691711223,,blondrin,in,,0,1,0,https://x.com/undefined/status/1941279162691711223,1904283397742022658,,negatif,blondrin dbd nao valorant
1941278236547350693,Fri Jul 04 23:29:33 +0000 2025,4,valorant stp wAllah https://t.co/uXnKrgt6zj,1941278236547350693,https://pbs.twimg.com/media/GvDNiBSWsAAoDYZ.png,,in,,0,1,0,https://x.com/undefined/status/1941278236547350693,748519554880520192,,positif,valorant stp wallah httpstcouxnkrgt6zj
1941269268655636512,Fri Jul 04 22:53:55 +0000 2025,2,# wana kiss?? + !SR !tiktok !discord !lurk rank https://t.co/qkBD6bKFC0 #promotwt #VALORANT #gaming #twitchstreamer,1941269268655636512,,,in,,0,0,0,https://x.com/undefined/status/1941269268655636512,1384234621018071044,,positif,wana kiss tiktok discord lurk rank httpstcoqkbd6bkfc0 promotwt valorant gaming twitchstreamer
1941253751031070776,Fri Jul 04 22:10:37 +0000 2025,1,@panw1dfps Valorant mining yapiyo aga silin ,1941258371757376001,,panw1dfps,in,,0,0,0,https://x.com/undefined/status/1941258371757376001,1531732520429096961,,positif,panw1dfps valorant mining yapiyo aga silin
1939312295638937650,Fri Jul 04 20:47:07 +0000 2025,0,@maetiw APA SIH KOK TERI??? login Valorant sekarang dan kita custom match aku geprek kamu,1941237358474731998,,maetiw,in,,0,0,0,https://x.com/undefined/status/1941237358474731998,1679287533715488768,,positif,maetiw sih teri login valorant custom match geprek
1941232743754740016,Fri Jul 04 20:28:47 +0000 2025,3,Duoq Valorant https://t.co/Ry9mwlpnF0,1941232743754740016,,,in,,0,0,0,https://x.com/undefined/status/1941232743754740016,2742799985,,negatif,duoq valorant httpstcory9mwlpnf0
1941220386957558168,Fri Jul 04 20:05:53 +0000 2025,0,@alparslansako yoo valorant,1941226981749817711,,alparslansako,in,,0,1,0,https://x.com/undefined/status/1941226981749817711,1926200559427620864,,negatif,alparslansako yoo valorant
1940956090910339482,Fri Jul 04 20:00:38 +0000 2025,0,@txtFromRoblox IYAA MASA MAIN GROW A GARDEN SEPANAS VALORANT!?,1941225660292469171,,txtFromRoblox,in,,0,0,0,https://x.com/undefined/status/1941225660292469171,1789898754512019456,,negatif,txtfromroblox iyaa main grow garden panas valorant
1941215975355060349,Fri Jul 04 19:22:09 +0000 2025,3,Sakura Ace #VALORANT https://t.co/zTgnrI9Fjs,1941215975355060349,https://pbs.twimg.com/amplify_video_thumb/1941215936767246336/img/tve3_z9sV5scl3EI.jpg,,in,,0,0,0,https://x.com/undefined/status/1941215975355060349,1907257636313296896,,negatif,sakura ace valorant httpstcoztgnri9fjs
1941210406783250564,Fri Jul 04 19:00:01 +0000 2025,2,Tap Tap #VALORANT #GAMING #TWITCH #TWITCHCLIPS #CLIPS #GAMER https://t.co/bo0MLttszy,1941210406783250564,https://pbs.twimg.com/amplify_video_thumb/1940989237798563840/img/eTSI32ALwtq5Ilnd.jpg,,in,,0,0,0,https://x.com/undefined/status/1941210406783250564,1864499097753014275,,negatif,tap tap valorant gaming twitch twitchclips clips gamer httpstcobo0mlttszy
1941203940776804809,Fri Jul 04 18:34:19 +0000 2025,0,Mau tampil beda di lobby? Bundle Cyrax jawabannya #TOKOGAME #topupmurah #fyp #Valorant #Cyrax https://t.co/7s5GcjpOUh,1941203940776804809,https://pbs.twimg.com/amplify_video_thumb/1941203677508665344/img/UNX_HOEdsa5kHNHn.jpg,,in,,0,0,0,https://x.com/undefined/status/1941203940776804809,1392968776451182599,,positif,tampil beda lobby bundle cyrax tokogame topupmurah fyp valorant cyrax httpstco7s5gcjpouh
1941201519325610451,Fri Jul 04 18:24:42 +0000 2025,1,Ada yang mau valorant kah? Gabut banget wkwk,1941201519325610451,,,in,,0,1,0,https://x.com/undefined/status/1941201519325610451,1085447933527347200,,negatif,valorant kah gabut banget wkwk
1941157555289587751,Fri Jul 04 17:32:35 +0000 2025,0,@brainletbr Gta rp valorant pubg,1941188404525531392,,brainletbr,in,,0,0,0,https://x.com/undefined/status/1941188404525531392,1502309962227277824,,positif,brainletbr gta valorant pubg
1941123913276334319,Fri Jul 04 16:50:18 +0000 2025,1,@Fabian88767887 @txthonorofkings sabar aja bisa aja hok ngikutin jejak valorant yg matiin PB pelan2,1941177761663680705,,Fabian88767887,in,,0,0,0,https://x.com/undefined/status/1941177761663680705,1504866277210603521,,negatif,fabian88767887 txthonorofkings sabar aja aja hok ngikutin jejak valorant matiin pelan2
1941176554165501982,Fri Jul 04 16:45:30 +0000 2025,0,pulang kerja = istirahat pulang kerja = valorant ,1941176554165501982,,,in,,0,1,0,https://x.com/undefined/status/1941176554165501982,789457237609590784,,positif,pulang kerja istirahat pulang kerja valorant
1941170503315751018,Fri Jul 04 16:21:27 +0000 2025,0,Jadi kangen main valorant tapi keyboard nya ku tinggal di rumah nenek,1941170503315751018,,,in,,0,0,0,https://x.com/undefined/status/1941170503315751018,1123513074097352705,,positif,kangen main valorant keyboard nya tinggal rumah nenek
1941088940536324515,Fri Jul 04 10:57:21 +0000 2025,0,Dice palo smbil open cam【 VALORANT 】 https://t.co/NCebgUlp4r via @YouTube,1941088940536324515,,,in,,0,0,0,https://x.com/undefined/status/1941088940536324515,1745344122997948416,,negatif,dice palo smbil open cam valorant httpstconcebgulp4r via youtube
1941088291455217826,Fri Jul 04 10:54:47 +0000 2025,2,sayounara valorant https://t.co/7wnBJGHseN,1941088291455217826,https://pbs.twimg.com/amplify_video_thumb/1941087575579426817/img/_a9MLSPPcL-7iqbN.jpg,,in,,0,1,0,https://x.com/undefined/status/1941088291455217826,1573330957259898884,,negatif,sayounara valorant httpstco7wnbjghsen
1941081568023310511,Fri Jul 04 10:28:04 +0000 2025,0,rensyuu【VALORANT】 https://t.co/vAqJ0fTOy0,1941081568023310511,,,in,,0,0,0,https://x.com/undefined/status/1941081568023310511,1642477057413378048,,negatif,rensyuuvalorant httpstcovaqj0ftoy0
1941074574558577007,Fri Jul 04 10:00:16 +0000 2025,0,valorant sampai mati,1941074574558577007,,,in,,0,3,0,https://x.com/undefined/status/1941074574558577007,1647132776397963265,,negatif,valorant mati
1941070189405356528,Fri Jul 04 09:42:51 +0000 2025,2,Gak mau ribet cari top up yang legal aman &amp; instant? Langsung aja ke https://t.co/COdT43Pz1Z Tersedia berbagai kebutuhan game: Roblox Valorant MLBB PUBG dan banyak lagi! Follow juga @txtfromroblox &amp; @txtfromvalorant buat info &amp; hiburan gaming tiap hari! ~ https://t.co/LafaJDin6B,1941070189405356528,https://pbs.twimg.com/media/GvARAwOWQAA2g8C.jpg,,in,,0,0,2,https://x.com/undefined/status/1941070189405356528,1420646070447603717,,positif,gak ribet cari top legal aman amp instant langsung aja httpstcocodt43pz1z sedia butuh game roblox valorant mlbb pubg follow txtfromroblox amp txtfromvalorant info amp hibur gaming httpstcolafajdin6b
1941036016040615972,Fri Jul 04 08:58:08 +0000 2025,0,@sapphicsfess Valo apasi valorant ya kirain velodrom hhhh Hidupku luang sih tapi sibuk. Tiap weekday jalan-jalan mulu tapi kadang weekend masih kerja. Ya gitu.,1941058938872692967,,sapphicsfess,in,,0,0,0,https://x.com/undefined/status/1941058938872692967,1907039517535809536,,positif,sapphicsfess valo apas valorant kirain velodrom hhhh hidup luang sih sibuk weekday jalanjalan mulu kadang weekend kerja gitu
1941053807812911570,Fri Jul 04 08:37:45 +0000 2025,3,Mendingan kalian bantuin diriku ini jual akun Valorant Masih kena ban sih tapi nanti Unban nya tanggal 7 Juli ini-- Reason kena ban? Dikira manipulating Rank (Boosting/Joki) sama Riot Peak Rank: Asc 2 Current Rank: Unranked No First Email-,1941053807812911570,,,in,,0,3,0,https://x.com/undefined/status/1941053807812911570,1250012906214666243,,negatif,mending bantuin jual akun valorant kena ban sih unban nya tanggal juli reason kena ban manipulating rank boostingjoki riot peak rank asc current rank unranked first email
1941051592696123838,Fri Jul 04 08:28:57 +0000 2025,0,wts akun valorant ada 7 bundle 10 skin vandal dann masih banyak lagii #valorant wts acc valo valorant akun dm for info!,1941051592696123838,,,in,,0,0,0,https://x.com/undefined/status/1941051592696123838,1643389258403807233,,positif,wts akun valorant bundle skin vandal dann valorant wts acc valo valorant akun for info
1940996066859798882,Fri Jul 04 07:55:39 +0000 2025,0,@AthleteNESS Yang artinya apa Ness? mau main valorant sama si Mihya itu?,1941043212082348280,,AthleteNESS,in,,0,1,0,https://x.com/undefined/status/1941043212082348280,1636629417421332480,,negatif,athleteness arti ness main valorant mihya
1940671007133511944,Fri Jul 04 07:48:32 +0000 2025,0,@bfgrent main valorant genshin atau game open world lain aku bisa rekomendasi rakitan pc kayak amd ryzen 5 5600 + vga rtx 3060 udah bisa gas banyak game berat dengan lancar dan awet jugaak! tinggal kamu kasih tau preferensinya mau yang bisa upgrade an yang hening atau yang bisa ,1941041423111147753,,gerbacng,in,,0,1,0,https://x.com/undefined/status/1941041423111147753,1767494588389044224,,negatif,bfgrent main valorant genshin game open world rekomendasi rakit kayak amd ryzen 5600 vga rtx 3060 udah gas game berat lancar awet jugaak tinggal kasih tau preferensi upgrade hening
1940985987443970491,Fri Jul 04 07:44:17 +0000 2025,0,@indonads_ Valorant di HP belum rilis ya?,1941040351994941762,,indonads_,in,,0,0,0,https://x.com/undefined/status/1941040351994941762,1770807974006517760,,positif,indonads valorant rilis
1941028340884033795,Fri Jul 04 06:56:33 +0000 2025,0,mau di valorant atau ml tetep kalo kalah pasti mvp,1941028340884033795,,,in,,0,0,0,https://x.com/undefined/status/1941028340884033795,1111817406744162304,,negatif,valorant tetep kalo kalah mvp
1940803577230086185,Fri Jul 04 06:08:12 +0000 2025,0,@akksarria Wkwkwk welcome to valorant experience https://t.co/kj66DZZorV,1941016172608282641,https://pbs.twimg.com/tweet_video_thumb/Gu_f6oCWkAAF_fS.jpg,akksarria,in,,0,1,0,https://x.com/undefined/status/1941016172608282641,1513305756790976512,,negatif,akksarria wkwkwk welcome valorant experience httpstcokj66dzzorv
1941015394447446457,Fri Jul 04 06:05:07 +0000 2025,0,Apa Itu Valorant Store Checker? Ini Cara Menggunakannya https://t.co/PHhA38Dnh2,1941015394447446457,,,in,,0,0,0,https://x.com/undefined/status/1941015394447446457,1754781348722774016,,negatif,valorant store checker httpstcophha38dnh2
1940713731430011076,Fri Jul 04 05:33:45 +0000 2025,0,@pantopel_ @deeeluna Gue siap defuse bomb nya udh latihan tiap hari di valorant nanti @Shaayuran yang maju @icha_wicak yg healing,1941007504248623198,,pantopel_,in,,0,2,0,https://x.com/undefined/status/1941007504248623198,1089949271749578752,,positif,pantopel deeeluna gue defuse bomb nya udh latih valorant shaayuran maju icha wicak healing
1940994728822296871,Fri Jul 04 04:42:59 +0000 2025,108,[Valorant] Baru bangun dah disuru main premiere be like #nocielle #valorant #valorantclips #valorantindonesia https://t.co/chsqfhjTP9,1940994728822296871,https://pbs.twimg.com/amplify_video_thumb/1940993567520112640/img/gIWIHBHT7-sLgt7T.jpg,,in,,0,1,6,https://x.com/undefined/status/1940994728822296871,1611394997630414853,,positif,valorant bangun dah disuru main premiere like nocielle valorant valorantclips valorantindonesia httpstcochsqfhjtp9
1940985987443970491,Fri Jul 04 04:08:15 +0000 2025,67,Inilah Turnamen Valorant Monad APAC! Gamer terbaik dari berbagai wilayah bersaing. Quarterfinal Hari 1: Kamis 10 Juli 21.00 WIB Hari 2: Jumat 11 Juli 20.00 WIB Semifinal: Sabtu 12 Juli 20.00 WIB Grand Final: Minggu 13 Juli 19.00 WIB Tidak peduli noob/pro daftar! https://t.co/ifC08osIEv,1940985987443970491,https://pbs.twimg.com/media/Gu_DD6aXEAAhcFG.jpg,,in,,0,21,5,https://x.com/undefined/status/1940985987443970491,1733005125667704832,,negatif,turnamen valorant monad apac gamer wilayah saing quarterfinal kamis juli 2100 wib jumat juli 2000 wib semifinal sabtu juli 2000 wib grand final minggu juli 1900 wib peduli noobpro daftar httpstcoifc08osiev
1940949476845539389,Fri Jul 04 03:43:56 +0000 2025,0,@shimjaqe HAHAHHAHA ngga jago berantem... Jagonya sparing valorant ‍,1940979867774079374,,shimjaqe,in,,0,1,0,https://x.com/undefined/status/1940979867774079374,3700702519,,negatif,shimjaqe hahahhaha ngga jago antem jago sparing valorant
